Mater.,prototype,category,Vcell/Pvatom,xA,xB,IEA,XA,IEB,Xb
BaS,NaCl,nonmetal,1.4021,0.5,0.5,5.212,0.89,10.36,2.58
BaSe,NaCl,nonmetal,1.4708,0.5,0.5,5.212,0.89,9.752,2.55
BaTe,NaCl,nonmetal,1.6332,0.5,0.5,5.212,0.89,9.009,2.1
KBr,NaCl,nonmetal,1.7015,0.5,0.5,4.34,0.82,11.81,2.96
LiBr,NaCl,nonmetal,2.5818,0.5,0.5,5.391,0.98,11.81,2.96
NaBr,NaCl,nonmetal,1.9608,0.5,0.5,5.138,0.93,11.81,2.96
RbBr,NaCl,nonmetal,1.5406,0.5,0.5,4.176,0.82,11.81,2.96
CaS,NaCl,nonmetal,1.5858,0.5,0.5,6.112,1,10.36,2.58
CaSe,NaCl,nonmetal,1.7177,0.5,0.5,6.112,1,9.752,2.55
CaTe,NaCl,nonmetal,1.6766,0.5,0.5,6.112,1,9.009,2.1
CdO,NaCl,nonmetal,1.8881,0.5,0.5,8.994,1.69,13.61,3.44
CsF,NaCl,nonmetal,0.8771,0.5,0.5,3.893,0.79,17.42,3.98
CsH,NaCl,nonmetal,1.0628,0.5,0.5,3.893,0.79,13.59,2.2
LiF,NaCl,nonmetal,1.6988,0.5,0.5,5.391,0.98,17.42,3.98
NaF,NaCl,nonmetal,1.3524,0.5,0.5,5.138,0.93,17.42,3.98
RbF,NaCl,nonmetal,1.0365,0.5,0.5,4.176,0.82,17.42,3.98
KH,NaCl,nonmetal,1.3166,0.5,0.5,4.34,0.82,13.59,2.2
LiH,NaCl,nonmetal,1.8835,0.5,0.5,5.391,0.98,13.59,2.2
NaH,NaCl,nonmetal,1.527,0.5,0.5,5.138,0.93,13.59,2.2
KI,NaCl,nonmetal,1.9005,0.5,0.5,4.34,0.82,10.45,2.66
LiI,NaCl,nonmetal,2.7771,0.5,0.5,5.391,0.98,10.45,2.66
NaI,NaCl,nonmetal,2.2224,0.5,0.5,5.138,0.93,10.45,2.66
RbI,NaCl,nonmetal,1.7686,0.5,0.5,4.176,0.82,10.45,2.66
MgO,NaCl,nonmetal,1.4368,0.5,0.5,7.645,1.31,13.61,3.44
MgSe,NaCl,nonmetal,2.1463,0.5,0.5,7.645,1.31,9.752,2.55
SrO,NaCl,nonmetal,1.0745,0.5,0.5,5.695,0.95,13.61,3.44
SrSe,NaCl,nonmetal,1.5769,0.5,0.5,5.695,0.95,9.752,2.55
SrTe,NaCl,nonmetal,1.7555,0.5,0.5,5.695,0.95,9.009,2.1
KCl,NaCl,nonmetal,1.5711,0.5,0.5,4.34,0.82,12.96,3.16
CaO,NaCl,nonmetal,1.1573,0.5,0.5,6.112,1,13.61,3.44
NaCl,NaCl,nonmetal,1.8799,0.5,0.5,5.138,0.93,12.96,3.16
KF,NaCl,nonmetal,1.0869,0.5,0.5,4.34,0.82,17.42,3.98
TlBr,NaCl,nonmetal,3.5597,0.5,0.5,6.108,1.62,11.81,2.96
CoO,NaCl,nonmetal,2.0196,0.5,0.5,7.88,1.88,13.61,3.44
FeO,NaCl,nonmetal,1.8365,0.5,0.5,7.902,1.83,13.61,3.44
GdN,NaCl,nonmetal,0.9402,0.5,0.5,6.15,1.2,14.53,3.04
EuS,NaCl,nonmetal,1.4308,0.5,0.5,5.67,1.18,10.36,2.58
EuSe,NaCl,nonmetal,1.4959,0.5,0.5,5.67,1.18,9.752,2.55
MnO,NaCl,nonmetal,1.7571,0.5,0.5,7.434,1.55,13.61,3.44
MnSe,NaCl,nonmetal,2.177,0.5,0.5,7.434,1.55,9.752,2.55
SiC,SiC,nonmetal,2.732,0.5,0.5,8.151,1.9,11.26,2.55
CoF2,TiO2,nonmetal,3.5631,0.333,0.667,7.88,1.88,17.42,3.98
FeF2,TiO2,nonmetal,3.4804,0.333,0.667,7.902,1.83,17.42,3.98
MnF2,TiO2,nonmetal,3.0701,0.333,0.667,7.434,1.55,17.42,3.98
NiF2,TiO2,nonmetal,3.4912,0.333,0.667,7.639,1.91,17.42,3.98
VF2,TiO2,nonmetal,2.2564,0.333,0.667,6.746,1.63,17.42,3.98
MgF2,TiO2,nonmetal,2.4486,0.333,0.667,7.645,1.31,17.42,3.98
GeO2,TiO2,nonmetal,2.8633,0.333,0.667,7.897,2.01,13.61,3.44
SnO2,TiO2,nonmetal,2.6191,0.333,0.667,7.344,1.96,13.61,3.44
TiO2,TiO2,nonmetal,1.5936,0.333,0.667,6.827,1.54,13.61,3.44
AgI,ZnO,nonmetal,2.8516,0.5,0.5,7.576,1.93,10.45,2.66
AlN,ZnO,nonmetal,2.3408,0.5,0.5,5.985,1.61,14.53,3.04
BeO,ZnO,nonmetal,2.8158,0.5,0.5,9.322,1.57,13.61,3.44
CdSe,ZnO,nonmetal,2.845,0.5,0.5,8.994,1.69,9.752,2.55
GaN,ZnO,nonmetal,2.4843,0.5,0.5,5.998,1.81,14.53,3.04
InN,ZnO,nonmetal,2.2947,0.5,0.5,5.786,1.78,14.53,3.04
ZnO,ZnO,nonmetal,2.7009,0.5,0.5,9.394,1.65,13.61,3.44
CdF2,CaF2,nonmetal,2.7845,0.333,0.667,8.994,1.69,17.42,3.98
CeO2,CaF2,nonmetal,1.0431,0.333,0.667,5.538,1.12,13.61,3.44
SrCl2,CaF2,nonmetal,2.1272,0.333,0.667,5.695,0.95,12.96,3.16
YbF2,CaF2,nonmetal,1.5161,0.333,0.667,6.253,1.25,17.42,3.98
ThO2,CaF2,nonmetal,1.1226,0.333,0.667,6.083,1.3,13.61,3.44
NpO2,CaF2,nonmetal,1.2882,0.333,0.667,6.265,1.36,13.61,3.44
PrO2,CaF2,nonmetal,1.0471,0.333,0.667,5.461,1.13,13.61,3.44
PuO2,CaF2,nonmetal,1.3188,0.333,0.667,6.059,1.28,13.61,3.44
TbO2,CaF2,nonmetal,1.1091,0.333,0.667,5.864,1.21,13.61,3.44
UO2,CaF2,nonmetal,1.2053,0.333,0.667,6.193,1.38,13.61,3.44
AmO2,CaF2,nonmetal,1.4571,0.333,0.667,5.991,1.3,13.61,3.44
CmO2,CaF2,nonmetal,1.7014,0.333,0.667,6.022,1.3,13.61,3.44
EuF2,CaF2,nonmetal,1.4587,0.333,0.667,5.67,1.18,17.42,3.98
PbF2,CaF2,nonmetal,3.5918,0.333,0.667,7.416,2.33,17.42,3.98
CsBr,CsCl,nonmetal,1.158,0.5,0.5,3.893,0.79,11.81,2.96
CsCl,CsCl,nonmetal,1.0711,0.5,0.5,3.893,0.79,12.96,3.16
TlCl,CsCl,nonmetal,3.2943,0.5,0.5,6.108,1.62,12.96,3.16
YP,NaCl,nonmetal,1.4935,0.5,0.5,6.218,1.22,10.48,2.19
