formula,C_11m,C_11_eff,C_12_eff,C_44_eff,K_eff,G_eff,E_eff,AR_eff,CR_eff,ea_eff,fi_eff,m_eff,rho_eff,val_eff,chi_eff
Mo48Ta8V8,423.15157,436.625,172.375,107.175,309.35,127.82499999999999,268.075,1.88,1.265,0.726275,7.145575,2899.5250000000005,10.82625,5.375,2.11875
Nb8Ta48V8,276.27602333333334,438.125,183.5,129.6125,274.25,149.2625,377.45,1.91125,0.7374999999999999,0.7166512499999999,7.684975,3440.6500000000005,17.32625,3.75,2.16125
Nb48Ta8W8,266.91507333333334,293.125,161.625,84.675,202.875,80.69250000000001,213.25,1.98875,0.775,0.45412375000000005,7.4900625,3254.5250000000005,16.00875,3.375,1.6199999999999999
Mo16Nb24Ta24,318.5153266666667,403.0,178.875,115.2125,270.95,126.51249999999999,304.125,1.94875,0.9325,0.61215875,7.5532,3328.525,16.05,4.125,1.9875
Mo16V24W24,433.36443,292.75,137.25,56.375,205.325,69.67750000000001,165.225,1.85875,0.9099999999999999,0.71759375,6.8375125,2566.15,8.055,4.5,1.7512500000000002
Mo8Ta48V8,310.54958000000005,462.25,185.5,133.05,292.2875,157.2,386.825,1.8987500000000002,0.8212499999999999,0.7696749999999999,7.627825,3393.2750000000005,16.51375,4.125,2.24375
Mo8Nb48Ta8,236.50941666666668,320.375,167.625,94.55,223.6625,90.95000000000002,228.5,1.97875,0.85875,0.43572750000000005,7.53175,3273.1500000000005,16.2125,3.5,1.69
Mo48Nb8W8,449.72155999999995,408.625,169.0,96.6875,296.475,114.505,236.375,1.9224999999999999,1.2824999999999998,0.7105625,7.1078624999999995,2918.9000000000005,10.80875,5.5,2.0075000000000003
Nb8Ta8W48,467.4746933333333,277.5,141.625,52.4875,189.125,69.0925,183.875,1.9762499999999998,0.7749999999999999,0.81122375,6.995875,2924.525,10.9275,4.625,1.6825
Ta8V8W48,471.08209000000005,273.125,136.375,47.925,184.625,66.28,176.575,1.94,0.7625,0.8366525,6.895449999999999,2787.775,9.60375,4.625,1.6987500000000002
Mo48Ta8W8,453.13470666666666,437.875,173.625,105.3,311.1,128.3175,269.5,1.9137499999999998,1.2774999999999999,0.77226625,7.147162499999999,2970.2750000000005,11.13375,5.625,2.115
Mo8Nb8Ta48,312.3115233333333,466.625,190.75,137.6125,296.7875,160.0125,394.125,1.935,0.83375,0.7442462499999999,7.728249999999999,3530.025,17.837500000000002,4.125,2.2275
Nb24Ta24V16,240.26065000000003,346.0,164.375,99.2125,225.875,105.01249999999999,270.775,1.9012499999999999,0.74,0.55696875,7.46665,3149.775,15.0275,3.375,1.855
Mo24Ta24V16,337.2947200000001,418.375,170.375,109.525,279.9875,128.825,298.9,1.8637499999999998,0.99125,0.71604,7.2951999999999995,3007.65,12.59,4.5,2.1025
Mo24Nb24Ta16,324.23913,397.875,176.25,110.0375,274.3625,120.6375,280.375,1.9449999999999998,1.02125,0.6034787500000001,7.45675,3229.775,14.912499999999998,4.375,1.9625
Ta24V24W16,345.9356966666667,335.375,151.125,81.775,215.875,97.55999999999999,251.725,1.8599999999999999,0.7275,0.7252375,7.16855,2881.025,11.67125,3.875,1.8962499999999998
Nb8Ta48W8,324.34506333333337,439.375,184.75,127.73750000000001,276.0,149.755,378.875,1.945,0.75,0.7626424999999999,7.686562499999999,3511.4000000000005,17.63375,4.0,2.1575
Mo8V8W48,493.5043533333334,268.0,133.75,42.75,188.0375,60.405,152.825,1.9362499999999998,0.85125,0.8279725,6.7989999999999995,2689.025,8.46625,4.875,1.67375
Mo16Nb24V24,289.7269966666667,302.125,149.25,75.6875,213.575,76.6375,182.85,1.86625,0.91,0.50333375,7.134025,2764.15,11.10375,3.75,1.71375
Mo24Nb24V16,307.03766333333334,330.625,156.5,83.6875,236.1125,87.3875,199.525,1.89,1.0062499999999999,0.5309287500000001,7.177300000000001,2853.525,11.614999999999998,4.125,1.78
Nb16Ta24V24,233.4590333333333,341.625,159.125,94.65,221.375,102.19999999999999,263.475,1.8649999999999998,0.7275,0.5823974999999999,7.366224999999999,3013.025,13.703750000000001,3.375,1.8712499999999999
Mo24Nb24W16,424.39244333333335,333.125,159.0,79.9375,239.6125,88.3725,202.375,1.9575,1.03125,0.62291125,7.180475,2995.025,12.229999999999999,4.625,1.7725
Mo48Nb8Ta8,422.80334999999997,441.0,177.625,111.7375,313.85,130.6375,275.375,1.9162499999999998,1.2774999999999999,0.70084625,7.2459999999999996,3036.2750000000005,12.149999999999999,5.375,2.1025
